                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2807,                 30.483,                0.96135,                      0,                      0,                      0,                      0,                 3.8751,                 23.229,                0.92358,                0.00052,                0.00052,                0.00052
                      2,                  3.372,                 16.524,                0.94031,                 0.0005,                0.14851,                0.00033,                  8e-05,                 3.2412,                 15.715,                0.83188,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.3249,                 12.603,                0.93755,                0.00092,                0.22772,                0.02441,                0.00461,                 3.4716,                 12.806,                0.82831,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.0821,                 11.011,                0.89391,                0.02486,                0.04217,                0.00535,                0.00174,                 3.3013,                 17.767,                0.89246,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.1115,                 8.8503,                0.89981,                0.57316,                0.36634,                0.31364,                0.08474,                 2.6471,                 7.3454,                0.83529,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.2363,                 7.7813,                0.94022,                0.53017,                0.21234,                0.21267,                0.05216,                 2.8641,                 6.9674,                0.82739,               0.001901,               0.001901,               0.001901
                      7,                  3.109,                 6.0177,                0.88911,                 0.2744,                0.18812,                0.08326,                0.02319,                 2.9817,                 9.0294,                0.83821,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0354,                 5.0457,                 0.9007,                0.46259,                0.26424,                0.20716,                0.05246,                 2.9211,                 5.7394,                0.84858,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9256,                 4.7068,                0.88502,                0.43062,                0.33663,                0.24673,                0.06303,                 2.8142,                 4.2409,                0.84225,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.7819,                 3.5663,                0.87551,                0.72975,                0.40594,                   0.43,                0.12596,                 2.5742,                 3.6991,                0.81524,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.795,                 3.1747,                0.86696,                0.59458,                0.43564,                0.40099,                0.12733,                 2.5114,                 3.1995,                0.82756,               0.001802,               0.001802,               0.001802
